Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Is_parent,Household,Age,Seniority,Total_Spent,Total_Accepted_Campaigns,Total_purchases
PostGraduation,Together,27450.0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,Not Parent,2,63,440,143,0,7
Graduation,Together,39453.0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,Parent,3,31,87,55,0,7
UnderGraduation,Together,26850.0,10,31,1,13,7,2,9,4,2,1,4,4,0,0,Parent,4,43,72,63,0,11
Graduation,Single,79800.0,65,1060,21,530,32,0,224,1,5,11,5,3,0,1,Not Parent,1,59,644,1867,3,22
PostGraduation,Together,61794.0,74,264,47,188,54,47,11,2,4,4,10,2,0,0,Parent,3,53,288,611,0,20
Graduation,Together,53863.0,4,399,4,30,6,4,30,3,7,1,7,7,0,0,Parent,3,59,43,473,1,18
Graduation,Together,24221.0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,Not Parent,2,55,313,55,0,6
PostGraduation,Single,39684.0,41,19,0,35,6,4,17,2,2,1,2,7,1,1,Parent,2,30,625,81,0,7
PostGraduation,Together,92163.0,25,817,183,797,106,163,20,0,5,11,5,2,0,1,Not Parent,2,39,564,2086,2,21
PostGraduation,Single,69882.0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,Not Parent,1,49,231,1478,0,20
Graduation,Together,33178.0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,Parent,3,37,150,49,0,5
PostGraduation,Together,59973.0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,Not Parent,2,42,291,382,0,15
PostGraduation,Together,17459.0,12,6,4,16,3,10,30,3,3,1,2,7,0,1,Parent,3,39,283,69,0,9
Graduation,Single,23910.0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,Parent,2,45,611,67,0,6
PostGraduation,Together,42169.0,20,19,0,9,0,0,2,2,1,0,3,8,0,0,Parent,4,45,253,30,0,6
UnderGraduation,Together,26224.0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,Parent,3,36,390,63,0,9
Graduation,Together,31089.0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,Parent,3,33,681,79,0,10
Graduation,Single,30081.0,27,36,0,2,0,0,4,1,1,0,3,7,0,0,Parent,2,53,493,42,0,5
Graduation,Together,62807.0,83,526,28,135,10,21,99,3,5,3,12,5,0,0,Parent,3,54,667,819,0,23
Graduation,Single,72906.0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,Not Parent,1,59,285,1151,0,17
PostGraduation,Together,61467.0,69,410,16,114,0,5,49,3,5,2,10,5,0,0,Parent,4,66,567,594,0,20
PostGraduation,Together,49618.0,77,80,3,26,4,2,14,4,3,1,3,7,0,0,Parent,4,48,519,129,0,11
PostGraduation,Single,21888.0,15,88,10,46,2,3,64,4,5,1,2,10,0,1,Parent,2,28,547,213,0,12
Graduation,Single,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,Parent,2,41,138,67,0,7
Graduation,Single,26150.0,61,5,1,13,3,5,1,1,1,0,3,7,0,0,Parent,4,58,475,28,0,5
UnderGraduation,Together,30801.0,23,8,4,5,15,2,11,2,1,0,3,7,0,0,Parent,3,39,611,45,0,6
Graduation,Together,81168.0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,Not Parent,2,49,53,1193,1,18
PostGraduation,Single,26877.0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,Not Parent,1,45,314,268,0,12
PostGraduation,Single,45006.0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,Not Parent,1,70,346,266,0,12
UnderGraduation,Together,18978.0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,Parent,3,41,565,37,0,5
Graduation,Together,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,0,0,Parent,5,47,244,37,0,7
PostGraduation,Single,48240.0,73,389,91,248,64,49,41,3,6,3,13,5,0,1,Not Parent,1,45,597,882,0,25
Graduation,Together,45837.0,88,215,13,87,17,17,24,5,6,2,5,7,0,0,Parent,4,40,338,373,0,18
PostGraduation,Single,35791.0,94,27,0,5,0,0,3,2,1,0,3,8,0,0,Parent,4,49,419,35,0,6
PostGraduation,Together,162397.0,31,85,1,16,2,1,2,0,0,0,1,1,0,0,Parent,4,38,391,107,0,1
Graduation,Single,54162.0,31,5,6,10,6,5,10,1,1,0,3,4,0,0,Parent,3,36,468,42,0,5
PostGraduation,Together,30522.0,6,179,8,83,19,11,26,5,1,2,9,2,0,0,Parent,3,54,681,326,0,17
PostGraduation,Together,54456.0,23,352,0,27,10,0,15,3,6,1,7,6,0,0,Parent,3,53,353,404,0,17
Graduation,Single,31632.0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,Not Parent,1,43,350,95,0,6
Graduation,Single,72298.0,52,625,35,169,58,17,35,1,4,3,6,1,0,0,Not Parent,1,65,111,939,2,14
UnderGraduation,Single,36975.0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,Parent,2,36,183,33,0,5
UnderGraduation,Together,72635.0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,Not Parent,2,59,391,981,1,21
Graduation,Together,13624.0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,Parent,3,38,525,36,0,7
Graduation,Single,84196.0,56,215,63,507,231,31,190,1,8,4,7,3,0,0,Parent,2,39,391,1237,0,20
Graduation,Together,70971.0,28,1001,17,572,93,125,17,7,11,11,5,7,0,1,Parent,3,54,646,1825,0,34
PostGraduation,Single,34487.0,94,19,18,33,24,1,8,3,3,0,3,9,0,0,Parent,3,37,661,103,0,9
Graduation,Single,28769.0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,Parent,2,37,558,191,0,12
PostGraduation,Together,69084.0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,Parent,3,44,222,1586,0,25
PostGraduation,Together,65488.0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,Not Parent,2,56,16,963,0,14
UnderGraduation,Together,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,0,Parent,3,44,165,889,0,26
UnderGraduation,Single,32218.0,27,10,24,15,13,1,30,1,2,1,3,7,0,1,Not Parent,1,54,134,93,1,7
Graduation,Single,83917.0,12,514,22,732,42,198,79,1,6,7,7,3,0,1,Not Parent,1,41,437,1587,0,21
Graduation,Single,46102.0,3,14,0,1,0,0,1,1,1,0,2,7,0,0,Parent,4,52,111,16,0,4
Graduation,Single,84574.0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,Not Parent,1,62,390,1375,0,32
Graduation,Together,56181.0,6,121,103,69,8,44,48,1,4,2,7,4,0,0,Parent,3,52,537,393,0,14
PostGraduation,Single,63120.0,53,965,69,279,54,41,69,5,8,4,9,7,0,1,Parent,2,64,639,1477,0,26
Graduation,Together,73691.0,58,707,21,250,85,43,73,2,6,2,8,2,0,0,Parent,3,43,235,1179,1,18
Graduation,Together,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,0,0,Parent,3,54,632,1005,0,26
PostGraduation,Together,76140.0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,Not Parent,2,66,47,1348,0,21
PostGraduation,Single,62859.0,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,Parent,2,55,546,1307,0,23
Graduation,Single,45906.0,20,305,3,27,4,3,144,2,5,4,4,5,0,0,Parent,2,50,418,486,1,15
PostGraduation,Together,77632.0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,Not Parent,2,67,476,2252,2,13
PostGraduation,Together,46463.0,56,163,2,40,8,11,11,7,3,1,6,6,0,0,Parent,4,43,315,235,0,17
Graduation,Together,105471.0,36,1009,181,104,202,21,207,0,9,8,13,3,0,1,Not Parent,2,44,524,1724,2,30
PostGraduation,Single,55282.0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,Parent,2,44,198,235,0,11
PostGraduation,Together,78710.0,42,721,0,152,119,50,50,3,7,6,12,4,0,0,Parent,3,37,37,1092,0,28
Graduation,Together,66886.0,28,315,4,62,41,31,146,2,7,1,7,5,0,0,Parent,3,56,286,599,0,17
PostGraduation,Single,98777.0,23,1000,19,711,125,115,38,0,4,6,9,1,0,0,Not Parent,1,54,132,2008,1,19
Graduation,Together,29103.0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,Parent,3,29,671,48,0,6
Graduation,Together,67445.0,63,757,80,217,29,80,11,5,9,6,12,6,0,0,Parent,3,40,686,1174,0,32
PostGraduation,Together,50616.0,71,30,2,25,0,1,9,1,1,1,4,2,0,0,Parent,3,64,77,67,0,7
Graduation,Single,49431.0,9,219,3,100,26,0,17,2,7,1,5,8,0,0,Parent,2,59,695,365,0,15
Graduation,Single,153924.0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,Not Parent,1,39,142,6,0,0
Graduation,Together,61278.0,87,111,3,28,2,6,15,2,3,1,4,6,0,0,Parent,3,61,176,165,0,10
UnderGraduation,Together,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,Not Parent,2,56,645,210,0,11
PostGraduation,Together,73059.0,36,410,112,420,0,82,71,1,9,3,13,4,0,0,Parent,3,67,302,1095,0,26
PostGraduation,Single,46734.0,86,100,1,39,6,1,76,4,3,2,3,6,0,0,Parent,4,48,251,223,1,12
Graduation,Together,56253.0,83,509,0,65,7,11,5,4,7,2,9,6,0,0,Parent,3,51,569,597,0,22
Graduation,Together,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,Parent,3,29,227,22,0,4
Graduation,Single,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,0,Parent,2,39,186,1064,0,24
UnderGraduation,Together,25965.0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,Not Parent,2,34,660,74,0,6
PostGraduation,Together,14661.0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,Not Parent,2,58,544,26,0,5
Graduation,Together,18690.0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,Not Parent,2,55,548,60,0,5
PostGraduation,Together,45068.0,25,14,0,3,0,0,3,1,1,0,2,7,0,0,Parent,3,40,409,20,0,4
UnderGraduation,Single,21063.0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,Parent,2,27,277,59,0,7
PostGraduation,Together,29187.0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,Parent,3,46,416,34,0,5
UnderGraduation,Together,54690.0,76,111,16,37,7,9,18,3,3,1,5,3,0,0,Parent,4,43,234,198,0,12
PostGraduation,Together,59304.0,81,418,61,428,80,51,10,3,7,8,10,5,0,0,Parent,3,50,335,1048,0,28
PostGraduation,Single,59247.0,87,327,9,122,19,14,83,5,5,2,9,6,0,0,Parent,3,52,233,574,0,21
Graduation,Single,66731.0,33,371,159,194,58,106,141,4,4,3,6,3,0,0,Parent,2,44,655,1029,0,17
Graduation,Together,77353.0,38,275,59,107,69,101,59,2,6,4,8,4,0,0,Parent,3,34,195,670,0,20
PostGraduation,Single,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,0,0,Parent,2,39,575,990,0,16
Graduation,Together,26751.0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,Parent,4,40,38,11,0,4
PostGraduation,Together,81300.0,17,1004,12,145,32,12,36,3,10,3,5,5,0,1,Parent,3,51,607,1241,1,21
Graduation,Single,70337.0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,Not Parent,1,35,178,576,0,17
UnderGraduation,Together,36145.0,13,56,4,76,17,1,18,4,4,1,3,9,0,1,Parent,3,29,378,172,1,12
PostGraduation,Single,65295.0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,Not Parent,1,34,188,664,0,20
Graduation,Single,68118.0,51,595,23,123,10,23,154,2,8,9,4,6,0,0,Parent,2,51,254,928,0,23
Graduation,Single,68743.0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,Not Parent,1,47,668,2074,0,30
UnderGraduation,Together,41039.0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,Not Parent,2,32,339,467,0,15
Graduation,Together,38946.0,84,116,6,82,6,6,41,2,3,1,6,5,0,0,Parent,3,59,248,257,0,12
Graduation,Together,65777.0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,Not Parent,2,47,192,1146,0,17
PostGraduation,Single,66476.0,99,372,18,126,47,48,78,2,5,2,11,4,0,0,Parent,2,38,479,689,0,20
PostGraduation,Single,86857.0,96,899,102,838,133,102,40,1,5,6,10,2,0,1,Not Parent,1,42,655,2114,0,22
PostGraduation,Together,160803.0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,Not Parent,2,32,694,1717,0,44
PostGraduation,Together,77845.0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,Not Parent,2,25,44,1346,2,21
PostGraduation,Together,69476.0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,Not Parent,2,45,272,1044,0,15
PostGraduation,Single,50611.0,98,459,0,24,6,0,4,6,4,5,7,6,0,1,Parent,2,54,633,493,1,22
Graduation,Single,61209.0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,Not Parent,1,44,308,957,0,13
PostGraduation,Together,42315.0,90,67,15,80,17,11,80,3,1,4,4,3,0,0,Parent,3,56,352,270,0,12
UnderGraduation,Together,13084.0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,Not Parent,2,62,239,29,0,5
PostGraduation,Single,47570.0,3,67,1,20,0,2,31,3,2,2,2,7,0,1,Parent,3,65,396,121,0,9
PostGraduation,Together,61923.0,94,92,4,18,3,3,6,1,2,1,4,3,0,0,Parent,4,53,338,126,0,8
Graduation,Single,34824.0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,Not Parent,1,19,95,23,0,4
PostGraduation,Single,26518.0,33,20,1,28,3,3,2,3,2,0,3,8,0,1,Parent,3,65,447,57,0,8
Graduation,Single,45938.0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,Not Parent,1,53,238,636,0,20
Graduation,Together,78468.0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,Not Parent,2,54,81,1004,1,28
Graduation,Single,78901.0,99,321,11,309,33,26,34,3,9,3,5,4,0,0,Parent,2,41,285,734,0,20
Graduation,Together,71427.0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,Parent,4,36,109,614,0,20
Graduation,Single,71022.0,30,909,12,278,0,12,242,3,5,2,11,8,0,0,Parent,2,36,138,1453,1,21
PostGraduation,Single,90247.0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,Not Parent,1,26,61,1621,3,15
PostGraduation,Single,41335.0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,Parent,2,46,185,187,0,12
Graduation,Together,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,0,0,Parent,3,28,535,1443,2,22
PostGraduation,Single,35682.0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,Parent,2,44,2,57,0,6
Graduation,Single,43185.0,88,537,6,42,16,6,30,2,9,3,6,8,0,0,Parent,2,63,445,637,0,20
PostGraduation,Together,66375.0,96,712,0,45,0,0,191,3,2,4,5,7,0,0,Parent,3,66,220,948,1,14
PostGraduation,Together,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,0,1,Parent,3,43,535,59,1,5
Graduation,Together,25252.0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,Parent,3,28,352,18,0,4
PostGraduation,Single,55250.0,49,664,58,83,32,0,66,4,7,5,10,5,0,0,Parent,2,49,616,903,0,26
Graduation,Single,33249.0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,Parent,2,39,494,112,0,8
Graduation,Together,58398.0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,Not Parent,2,61,411,596,0,20
Graduation,Together,50272.0,75,99,13,66,43,8,4,3,4,1,5,7,0,0,Parent,3,32,326,233,0,13
PostGraduation,Together,76618.0,64,749,40,294,121,160,147,1,3,2,5,1,0,0,Not Parent,2,39,569,1511,0,11
UnderGraduation,Single,87305.0,19,345,25,501,63,138,80,1,5,3,8,2,0,1,Not Parent,1,54,644,1152,1,17
Graduation,Together,25851.0,45,9,4,18,7,5,5,2,2,0,3,7,0,0,Parent,3,36,503,48,0,7
Graduation,Single,58710.0,77,440,81,368,0,122,174,6,11,5,9,6,0,0,Parent,2,44,455,1185,0,31
Graduation,Single,45160.0,9,8,2,5,3,0,3,1,1,0,2,7,0,0,Parent,3,56,92,21,0,4
PostGraduation,Together,74806.0,1,670,9,249,0,28,9,2,5,4,5,4,0,0,Parent,3,49,557,965,0,16
Graduation,Together,59111.0,90,524,0,134,28,28,155,1,11,1,8,7,0,0,Not Parent,2,60,423,869,0,21
PostGraduation,Together,18988.0,43,6,0,6,2,1,1,2,1,0,3,7,0,0,Parent,3,30,37,16,0,6
Graduation,Together,72190.0,79,597,166,597,172,166,249,1,5,6,4,3,0,0,Not Parent,2,49,501,1947,0,16
Graduation,Together,7500.0,19,7,0,12,13,7,32,5,4,1,2,9,0,1,Parent,3,38,697,71,1,12
Graduation,Together,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,Parent,3,48,21,65,0,6
Graduation,Together,80395.0,62,445,25,706,80,76,48,1,6,5,12,2,0,0,Not Parent,2,59,218,1380,1,24
PostGraduation,Single,75012.0,41,294,142,218,164,58,151,1,3,8,11,1,0,0,Not Parent,1,38,155,1027,0,23
PostGraduation,Together,56962.0,60,292,3,77,10,3,26,7,6,3,5,7,0,0,Parent,5,49,261,411,0,21
Graduation,Together,89891.0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,Not Parent,2,23,440,836,1,26
PostGraduation,Single,35946.0,24,8,0,3,0,0,0,1,0,0,3,5,0,0,Parent,3,65,275,11,0,4
PostGraduation,Together,53593.0,60,349,4,78,6,0,43,8,7,2,6,8,0,0,Parent,4,61,691,480,0,23
Graduation,Together,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,Parent,4,36,382,606,0,23
PostGraduation,Single,45072.0,74,144,2,99,7,2,30,5,6,1,4,8,0,0,Parent,4,66,256,284,0,16
Graduation,Single,89694.0,22,1126,28,211,37,28,42,3,4,3,4,5,0,0,Parent,3,41,263,1472,3,14
Graduation,Together,72025.0,46,967,0,617,43,50,0,1,4,8,13,2,0,1,Not Parent,2,65,61,1677,3,26
Graduation,Together,67432.0,69,432,79,341,177,136,170,2,8,5,4,4,0,0,Parent,3,41,457,1335,0,19
PostGraduation,Together,70545.0,29,138,39,63,55,18,21,1,4,1,7,2,0,0,Parent,3,62,26,334,0,13
UnderGraduation,Together,17487.0,37,0,0,1,7,4,6,1,1,0,2,7,0,0,Parent,3,25,468,18,0,4
Graduation,Together,62882.0,26,509,133,497,78,24,97,2,7,5,6,4,0,0,Parent,3,45,689,1338,0,20
PostGraduation,Single,64108.0,8,948,10,86,13,21,21,4,6,9,11,5,0,0,Parent,2,61,463,1099,0,30
PostGraduation,Together,34941.0,26,39,2,25,4,3,24,2,3,0,3,8,0,0,Parent,4,58,480,97,0,8
PostGraduation,Single,48767.0,79,28,1,21,3,0,10,3,2,1,3,5,0,0,Parent,4,64,179,63,0,9
UnderGraduation,Together,38702.0,71,13,11,24,13,8,40,2,3,0,4,6,0,0,Parent,3,36,332,109,0,9
Graduation,Together,82224.0,83,307,26,360,138,31,40,1,6,9,5,3,0,0,Not Parent,2,50,155,902,1,21
Graduation,Together,83844.0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,Not Parent,2,62,413,1574,1,20
UnderGraduation,Together,17003.0,37,2,5,12,4,8,7,3,2,0,4,5,0,0,Parent,3,39,202,38,0,9
Graduation,Single,71163.0,30,283,17,372,138,106,44,1,3,8,12,1,0,0,Not Parent,1,19,112,960,0,24
Graduation,Single,33697.0,34,4,3,7,0,3,11,1,1,0,2,7,0,0,Parent,2,44,287,28,1,4
UnderGraduation,Together,63564.0,0,769,80,252,15,34,65,1,10,10,7,6,0,1,Not Parent,2,60,151,1215,1,28
PostGraduation,Together,83443.0,89,518,42,742,55,56,84,1,6,10,5,2,0,0,Not Parent,2,42,180,1497,0,22
PostGraduation,Together,51518.0,92,350,8,66,17,4,4,2,3,2,10,3,0,0,Parent,3,56,269,449,0,17
Graduation,Single,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,0,Parent,2,39,186,1064,0,24
Graduation,Together,80952.0,20,778,178,689,41,27,44,1,8,5,11,8,0,1,Not Parent,2,45,486,1757,3,25
Graduation,Together,75507.0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,Not Parent,2,35,58,1440,0,21
UnderGraduation,Together,63855.0,28,359,35,314,93,116,89,1,7,3,13,4,0,0,Not Parent,2,36,505,1006,0,24
PostGraduation,Together,62220.0,55,799,12,375,16,12,12,5,7,6,5,6,0,1,Parent,3,42,687,1226,0,23
Graduation,Together,58512.0,25,895,10,101,13,0,152,5,3,4,8,8,0,0,Parent,3,50,283,1171,0,20
PostGraduation,Together,40662.0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,Parent,3,35,471,92,0,8
PostGraduation,Together,38829.0,86,76,0,7,0,0,16,1,3,2,2,5,0,0,Parent,3,55,84,99,0,8
UnderGraduation,Together,35523.0,8,11,5,22,12,5,11,2,3,0,3,7,0,0,Parent,3,33,269,66,0,8
Graduation,Single,79146.0,33,245,16,223,21,43,16,2,8,1,8,6,0,0,Parent,3,47,66,564,0,19
PostGraduation,Together,78285.0,13,647,107,391,175,67,40,1,6,4,10,3,0,0,Not Parent,2,26,244,1427,0,21
PostGraduation,Single,31626.0,12,39,1,9,2,1,34,1,2,1,2,7,0,1,Parent,2,36,415,86,1,6
Graduation,Single,75127.0,92,203,35,305,46,17,227,1,2,11,5,1,0,0,Not Parent,1,62,38,833,0,19
Graduation,Together,48726.0,90,138,3,38,4,0,59,3,3,2,4,6,0,0,Parent,3,59,428,242,0,12
Graduation,Together,74985.0,8,587,51,898,247,0,86,1,3,6,7,2,0,0,Not Parent,2,37,656,1869,0,17
Graduation,Together,67430.0,6,595,97,291,127,133,121,1,11,5,12,6,0,0,Not Parent,2,27,662,1364,0,29
UnderGraduation,Together,46891.0,91,43,12,23,29,15,61,1,2,1,4,4,0,0,Parent,3,49,301,183,0,8
PostGraduation,Together,62058.0,52,301,7,74,10,0,58,4,6,1,7,6,0,0,Parent,3,58,399,450,0,18
Graduation,Together,72063.0,3,180,32,348,76,32,90,2,5,2,12,2,0,0,Parent,3,35,361,758,0,21
PostGraduation,Together,78939.0,57,794,115,243,150,0,205,1,8,5,6,3,0,0,Not Parent,2,63,199,1507,0,20
Graduation,Single,42720.0,9,392,5,91,28,26,112,8,7,3,7,8,0,1,Parent,3,49,431,654,0,25
Graduation,Together,33622.0,22,39,1,22,3,4,12,3,2,0,4,7,0,0,Parent,4,42,442,81,0,9
PostGraduation,Together,6835.0,76,107,2,12,2,2,12,0,0,0,1,20,0,0,Parent,3,57,568,137,0,1
Graduation,Together,41452.0,86,13,0,3,0,0,0,1,1,0,2,7,0,0,Parent,4,61,480,16,0,4
PostGraduation,Single,40760.0,64,70,0,17,0,0,6,2,2,1,3,6,0,0,Parent,2,49,303,93,0,8
PostGraduation,Together,74250.0,90,680,11,392,75,0,0,1,2,11,4,1,0,0,Not Parent,2,56,154,1158,0,18
PostGraduation,Single,51124.0,79,26,1,11,0,1,4,2,1,0,3,3,0,0,Parent,3,59,193,43,0,6
Graduation,Single,72258.0,28,522,0,522,227,120,134,2,6,9,5,2,0,0,Parent,2,43,290,1525,0,22
PostGraduation,Single,71466.0,86,412,12,546,78,182,0,1,4,4,10,1,0,0,Not Parent,1,40,85,1230,0,19
Graduation,Together,36283.0,42,6,5,5,8,0,5,2,1,0,3,4,0,0,Parent,4,38,76,29,0,6
Graduation,Single,20587.0,39,2,3,6,4,1,9,1,1,1,2,7,0,0,Parent,2,44,49,25,0,5
Graduation,Together,30467.0,8,1,3,8,2,5,5,1,1,0,2,7,0,0,Parent,3,42,102,24,0,4
Graduation,Together,31590.0,40,6,2,15,6,6,3,1,1,0,3,8,0,0,Parent,3,42,376,38,0,5
UnderGraduation,Together,20425.0,5,4,12,5,3,16,17,2,2,0,3,7,0,0,Parent,3,28,608,57,0,7
PostGraduation,Together,17144.0,96,18,2,19,0,2,6,5,3,0,4,7,0,0,Parent,4,54,134,47,0,12
PostGraduation,Single,42564.0,28,324,48,186,39,18,198,6,6,8,4,7,0,1,Parent,2,46,543,813,1,24
PostGraduation,Together,43783.0,22,327,9,125,25,4,139,6,7,1,8,7,0,0,Parent,3,36,31,629,1,22
Graduation,Single,40780.0,30,229,27,71,13,3,34,4,7,1,5,9,0,0,Parent,2,38,659,377,0,17
PostGraduation,Together,62847.0,45,521,168,706,80,76,61,1,3,6,4,2,0,0,Not Parent,2,69,530,1612,0,14
PostGraduation,Together,82017.0,58,184,23,446,30,23,23,1,5,4,7,2,0,1,Not Parent,2,57,599,729,3,17
Graduation,Single,16813.0,49,4,8,11,12,2,13,1,2,0,3,7,0,0,Not Parent,1,64,345,50,1,6
Graduation,Together,51267.0,37,183,2,64,7,2,12,4,3,3,5,4,0,0,Parent,4,36,243,270,0,15
Graduation,Single,46524.0,70,31,19,35,26,14,52,2,1,1,5,3,0,0,Parent,2,53,450,177,0,9
PostGraduation,Single,45183.0,33,219,3,60,12,9,12,1,4,1,7,7,0,0,Not Parent,1,52,525,315,1,13
PostGraduation,Together,70421.0,98,479,28,136,75,14,35,3,10,3,7,6,0,0,Parent,3,60,1,767,0,23
UnderGraduation,Single,60161.0,17,584,44,212,46,8,177,3,11,4,8,8,0,0,Parent,2,49,614,1071,0,26
Graduation,Together,73926.0,54,627,91,597,159,91,15,1,6,5,12,3,0,0,Not Parent,2,41,484,1580,0,24
Graduation,Together,19329.0,39,24,1,16,12,2,5,3,4,0,3,8,0,0,Parent,3,46,197,60,0,10
PostGraduation,Together,61872.0,81,330,5,159,36,27,16,4,4,4,9,4,0,0,Parent,3,44,198,573,0,21
Graduation,Single,46984.0,71,19,1,10,2,1,8,1,1,0,3,5,0,0,Parent,3,58,460,41,0,5
Graduation,Together,34838.0,62,28,23,29,29,14,47,3,2,1,4,6,0,0,Parent,4,63,526,170,0,10
PostGraduation,Single,82716.0,8,606,148,228,15,148,22,1,6,8,13,2,0,0,Not Parent,1,70,236,1167,0,28
Graduation,Together,48192.0,76,1039,43,204,153,58,29,3,2,8,12,8,0,1,Not Parent,2,56,449,1526,3,25
PostGraduation,Together,49681.0,66,411,0,26,0,0,21,6,7,1,7,7,0,0,Parent,4,38,237,458,0,21
PostGraduation,Together,56850.0,83,34,1,19,2,7,0,1,1,1,3,2,0,0,Parent,3,43,98,63,0,6
Graduation,Together,55267.0,28,161,28,136,32,3,45,4,3,4,6,3,0,0,Parent,3,57,251,405,0,17
Graduation,Together,59666.0,87,623,53,178,23,17,133,7,3,2,8,8,0,0,Parent,4,42,464,1027,1,20
Graduation,Single,72504.0,43,604,26,470,123,161,94,2,5,9,6,2,0,0,Parent,2,42,449,1478,0,22
Graduation,Together,26872.0,0,3,10,8,3,16,32,1,1,1,2,6,0,0,Not Parent,2,33,256,72,0,5
Graduation,Single,21359.0,1,12,2,17,6,1,10,2,2,0,3,8,0,1,Parent,2,42,435,48,0,7
Graduation,Single,73170.0,1,184,174,256,50,30,32,1,5,4,6,2,0,0,Not Parent,1,39,29,726,0,16
PostGraduation,Together,52750.0,72,393,0,239,90,69,69,6,5,7,9,4,0,0,Parent,3,59,510,860,0,27
PostGraduation,Together,91820.0,72,410,73,747,76,161,30,0,5,5,12,1,0,0,Not Parent,2,28,218,1497,0,22
PostGraduation,Together,65968.0,12,376,9,83,19,4,4,2,5,4,7,3,0,0,Parent,3,44,48,495,0,18
